ProductCategoryID,ProductSubCategoryID,SubCategoryName,SubCategory_Description
DGS01,DGS01-RR01,Rice & Rice Products,"All varieties of whole grain rice including basmati, sona masoori, ponni, and matta, plus rice-based products such as rice flour, rice flakes, pawa, and idly rice."
DGS01,DGS01-LD02,"Lentils, Dal & Pulses","Dried legumes and pulses including toor dal, moong dal, urid dal, chana dal, red lentils, brown lentils, chickpeas, kidney beans, black-eye beans, and other dried beans and peas."
DGS01,DGS01-SP03,Spices & Masalas,"Ground and blended spice powders and masala mixes including chilli powder, turmeric, coriander, cumin, garam masala, curry powder, tandoori masala, and brand-specific spice blends."
DGS01,DGS01-AF04,"Atta, Flour & Semolina","Milling products used for baking and cooking including wheat flour, chapatti flour, self-raising flour, corn flour, semolina, rava, bulgur wheat, couscous, and other grain flours."
DGS01,DGS01-WS05,Whole Spices & Herbs,"Unground whole spices and dried herbs including cardamom, cloves, cinnamon, bay leaves, mustard seeds, cumin seeds, dried oregano, thyme, rosemary, parsley, lemongrass, and zaatar."
DGS01,DGS01-OG06,Cooking Oil & Ghee,"Culinary fats and oils used for frying, roasting, and cooking including sunflower oil, vegetable oil, coconut oil, mustard oil, sesame oil, olive oil, and clarified butter (ghee)."
DGS01,DGS01-ND07,"Nuts, Dry Fruits & Seeds","Packaged nuts, dried fruits, and seeds including almonds, cashews, pistachios, walnuts, peanuts, raisins, dates, figs, apricots, desiccated coconut, and mixed nuts."
DGS01,DGS01-SJ08,"Sugar, Jaggery & Sweeteners","Sweetening ingredients including white sugar, brown sugar, caster sugar, icing sugar, jaggery, palm sugar, sugarcane products, and artificial sweeteners used in cooking and baking."
DGS01,DGS01-SV09,"Salt, Vinegar & Baking Basics","Essential cooking and baking staples including table salt, rock salt, black salt, malt vinegar, white vinegar, baking powder, baking soda, yeast, food colouring, and essence extracts."
SNC02,SNC02-SN01,Snacks & Namkeen,"Traditional and contemporary savoury snacks including namkeen, bhujia, murukku, chakli, patra, dhokla, golcappa, popcorn, and other ready-to-eat Indian and ethnic snack foods."
SNC02,SNC02-BC02,Biscuits & Cookies,"Baked sweet and savoury biscuits, cookies, crackers, rusks, wafers, and similar dry baked snack products. Includes tea biscuits, digestives, Marie, and shortbread varieties."
SNC02,SNC02-CC03,Chocolates & Candy,"Chocolate bars, chocolate confectionery, boiled sweets, lollipops, toffees, chewing gum, mints, and other sugar-based candy products from mainstream and ethnic brands."
SNC02,SNC02-SM04,Sweets & Indian Mithai,"Traditional South Asian and Indian sweet confections including gulab jamun, rasgulla, rassomalai, jalebi, ladoo, barfi, chum chum, halwa, and other festive and everyday Indian sweets."
SNC02,SNC02-CS05,Crisps & Savoury Snacks,"Potato crisps, tortilla chips, flavoured corn snacks, and western-style savoury snack products including Doritos, Pringles, Walkers, and similar branded crisp and snack ranges."
BEV03,BEV03-TT01,Tea & Herbal Tea,"Loose leaf and bagged teas including black tea, green tea, masala chai, and herbal infusions such as camomile, peppermint, hibiscus, and other caffeine-free herbal tea blends."
BEV03,BEV03-CF02,Coffee & Instant Coffee,"Ground coffee, instant coffee granules, espresso, and coffee-based hot drink products. Includes filter coffee, chicory blends, and branded instant coffee varieties."
