ProductCategoryID,CategoryName,ProductSubCategoryID,SubCategoryName,ProductID,ProductName,SellingPrice,Weight_KG,Product description,Image_source,Image_Confidence,Image_Status,Corrected_Image_Source
BEV03,Beverages,BEV03-FJ04,Fruit juices & nectars,BEV03-FJ04-P0001,RUBICON PAMOG.,1.59,,"Rubicon Pamog is a fruit juice or nectar drink offering a refreshing taste for breakfast, lunch and all-day drinking.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.59 for UK retail and wholesale supply.
Ideal for chilled drinks sections and lunchbox ranges.
Suitable for cafés, schools and hospitality beverage supply.
A popular choice for family-oriented retail displays.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/500/038/202/9489/front_en.8.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/500/038/202/9489/front_en.8.400.jpg
HPC08,Household & personal care,HPC08-CL04,Household cleaning,HPC08-CL04-P0001,6'' LINESMAN PLIERS,3.99,,"6'' Linesman Pliers is a disposable or packaging item suited to catering, retail food service and household convenience.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £3.99 for UK retail and wholesale supply.
Ideal for takeaways, events, catering and shop operations.
Suitable for cash-and-carry and hospitality supply ranges.
A practical non-food essential for mixed wholesalers.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
HPC08,Household & personal care,HPC08-CL04,Household cleaning,HPC08-CL04-P0002,BUZZ DUST PAN,3.99,,"Buzz Dust Pan is a disposable or packaging item suited to catering, retail food service and household convenience.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £3.99 for UK retail and wholesale supply.
Ideal for takeaways, events, catering and shop operations.
Suitable for cash-and-carry and hospitality supply ranges.
A practical non-food essential for mixed wholesalers.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
HPC08,Household & personal care,HPC08-CL04,Household cleaning,HPC08-CL04-P0003,HARDWARE SERIES,6.99,,"Hardware Series is a disposable or packaging item suited to catering, retail food service and household convenience.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £6.99 for UK retail and wholesale supply.
Ideal for takeaways, events, catering and shop operations.
Suitable for cash-and-carry and hospitality supply ranges.
A practical non-food essential for mixed wholesalers.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-RV01,Root vegetables & onions,FRP04-RV01-P0001,DRIED GINGER 100G,2.29,0.1,"Dried Ginger 100G is fresh root vegetables or onions selected for quality, flavour and versatility in UK kitchens.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 100g.
Listed at £2.29 for UK retail and wholesale supply.
Ideal for curries, roasts, soups, stews and everyday cooking.
Perfect for greengrocers, supermarkets and catering suppliers.
Best stored cool and used promptly for optimum freshness.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/506/040/579/3520/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/506/040/579/3520/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-GV03,"Gourds, pods & vegetables",FRP04-GV03-P0001,DRUMSTIC,9.99,,"Drumstic is fresh vegetables offering wholesome nutrition and authentic flavour for diverse UK cuisines.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £9.99 for UK retail and wholesale supply.
Ideal for curries, stir-fries, roasts and traditional recipes.
Popular with South Asian, African and Caribbean customer bases.
Suitable for fresh produce counters and wholesale catering.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
DGS01,Dry grocery & staples,DGS01-RR01,Rice & rice products,DGS01-RR01-P0001,HEEKA COUS COUS 500G,1.99,0.5,"Heeka Cous Cous 500G is a pasta product suited to Italian, fusion and everyday family meal preparation.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 500g.
Listed at £1.99 for UK retail and wholesale supply.
Ideal for boiling, baking and sauce-based recipes.
Suitable for mainstream pasta aisles and world food ranges.
A dependable staple for grocery and catering supply.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/500/012/865/4234/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/500/012/865/4234/front_en.3.400.jpg
DGS01,Dry grocery & staples,DGS01-SP03,Spices & masalas,DGS01-SP03-P0001,KCS- TURMERIC POWDER 400G,3.79,0.4,"Kcs- Turmeric Powder 400G is a carefully blended seasoning that adds authentic aroma and depth to a wide range of dishes.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 400g.
Listed at £3.79 for UK retail and wholesale supply.
Ideal for curries, marinades, rice dishes, grills and everyday cooking.
A trusted choice for ethnic food retailers and catering suppliers.
Helps deliver consistent flavour in both retail and food service kitchens.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-GV03,"Gourds, pods & vegetables",FRP04-GV03-P0002,KERALA CUCUMBER,6.99,,"Kerala Cucumber is fresh vegetables offering wholesome nutrition and authentic flavour for diverse UK cuisines.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £6.99 for UK retail and wholesale supply.
Ideal for curries, stir-fries, roasts and traditional recipes.
Popular with South Asian, African and Caribbean customer bases.
Suitable for fresh produce counters and wholesale catering.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
BEV03,Beverages,BEV03-SD03,Soft drinks & fizzy drinks,BEV03-SD03-P0001,PEPSI 2.25L,2.99,,"Pepsi 2.25L is a refreshing soft drink ideal for chilled retail and food service beverage ranges across the UK.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 2.25L.
Listed at £2.99 for UK retail and wholesale supply.
Perfect for family meals, parties and on-the-go refreshment.
Suitable for fridge and ambient soft drinks fixtures.
A high-rotation line for supermarkets and convenience stores.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/859/400/804/0202/front_en.14.400.jpg,75,CORRECT,https://images.openfoodfacts.org/images/products/859/400/804/0202/front_en.14.400.jpg
